date,homeTeamWinner,awayTeamWinner,homeTeamScore,awayTeamScore,leagueName,description,teamOrder,possessionPct,foulsCommitted,offsides,totalShots,shotsOnTarget,shotPct,penaltyKickGoals,penaltyKickShots,passPct,accurateCrosses,totalCrosses,crossPct,totalLongBalls,accurateLongBalls,longballPct,blockedShots,effectiveTackles,totalTackles,tacklePct,interceptions,effectiveClearance,country,teamRank,wins,ties,losses,points,gf,ga,gd,season,day_type
2024-11-02 23:00:00,False,True,1,1,USL Championship,Final Score - After Penalties,Away,50.0,12,1,12,4,0.3,0,0,0.8,3,15,0.2,53,24,0.4,3,9,13,0.6,7,15,USA,10,11,9,11,44,39,40,0,Fall,Weekend
2024-11-02 23:30:00,True,False,3,2,USL Championship,Full Time,Home,50.0,12,1,12,4,0.3,0,0,0.8,3,15,0.2,53,24,0.4,3,9,13,0.6,7,15,USA,10,11,9,11,44,39,40,0,Fall,Weekend
2024-11-02 23:30:00,True,False,3,2,USL Championship,Full Time,Away,50.0,12,1,12,4,0.3,0,0,0.8,3,15,0.2,53,24,0.4,3,9,13,0.6,7,15,USA,10,11,9,11,44,39,40,0,Fall,Weekend
2024-11-03 18:00:00,False,True,2,3,USL Championship,Full Time,Home,50.0,12,1,12,4,0.3,0,0,0.8,3,15,0.2,53,24,0.4,3,9,13,0.6,7,15,USA,10,11,9,11,44,39,40,0,Fall,Weekend
2024-11-03 18:00:00,False,True,2,3,USL Championship,Full Time,Away,50.0,12,1,12,4,0.3,0,0,0.8,3,15,0.2,53,24,0.4,3,9,13,0.6,7,15,USA,10,11,9,11,44,39,40,0,Fall,Weekend
2024-03-09 21:00:00,True,False,2,1,USL Championship,Full Time,Home,42.6,14,2,15,6,0.4,0,0,0.7,1,12,0.1,69,21,0.3,3,14,19,0.7,19,28,USA,3,14,9,11,51,52,41,11,Spring,Weekend
2024-03-09 21:00:00,True,False,2,1,USL Championship,Full Time,Away,57.4,13,2,9,4,0.4,0,0,0.8,0,14,0.0,82,36,0.4,2,9,14,0.6,15,20,USA,4,13,11,10,50,49,46,3,Spring,Weekend
2024-03-09 21:00:00,True,False,1,0,USL Championship,Full Time,Home,66.3,18,4,5,5,1.0,0,0,0.9,2,11,0.2,88,44,0.5,0,6,7,0.9,8,19,USA,1,18,5,11,59,46,44,2,Spring,Weekend
2024-03-09 21:00:00,True,False,1,0,USL Championship,Full Time,Away,33.7,19,2,5,2,0.4,0,0,0.7,6,24,0.3,61,20,0.3,0,7,10,0.7,4,9,USA,7,12,12,10,48,41,28,13,Spring,Weekend
2024-03-10 00:00:00,False,False,0,0,USL Championship,Full Time,Home,33.4,17,1,7,0,0.0,0,0,0.7,4,18,0.2,54,23,0.4,3,9,14,0.6,9,24,USA,8,13,9,12,48,54,43,11,Spring,Weekend
2024-03-10 00:00:00,False,False,0,0,USL Championship,Full Time,Away,66.6,8,4,9,1,0.1,0,0,0.9,4,14,0.3,66,31,0.5,4,7,8,0.9,7,22,USA,2,18,10,6,64,68,35,33,Spring,Weekend
2024-03-10 00:00:00,True,False,2,0,USL Championship,Full Time,Home,38.5,8,2,10,3,0.3,1,1,0.7,3,8,0.4,61,27,0.4,2,11,20,0.6,6,39,USA,12,3,2,29,11,26,89,-63,Spring,Weekend
